"","Time","Price","Continent","Verb"
"1",1,7.42580466198778,"Europe","call"
"2",2,10.1911849669387,"Europe","call"
"3",3,12.3599413045443,"Europe","call"
"4",4,14.2041770740824,"Europe","call"
"5",5,15.8323187798105,"Europe","call"
"6",6,17.3012086830983,"Europe","call"
"7",7,18.6452962949385,"Europe","call"
"8",8,19.8874649368259,"Europe","call"
"9",9,21.0439152706188,"Europe","call"
"10",10,22.1266691151068,"Europe","call"
"11",11,23.1449760470023,"Europe","call"
"12",12,24.1061599929266,"Europe","call"
"13",13,25.0161570481474,"Europe","call"
"14",14,25.8798723528687,"Europe","call"
"15",15,26.7014255660291,"Europe","call"
"16",16,27.4843248852309,"Europe","call"
"17",17,28.231593626769,"Europe","call"
"18",18,28.9458643657774,"Europe","call"
"19",19,29.6294503196886,"Europe","call"
"20",20,30.2844004071664,"Europe","call"
"21",21,30.9125423635419,"Europe","call"
"22",22,31.5155169635628,"Europe","call"
"23",23,32.0948055182906,"Europe","call"
"24",24,32.6517522126097,"Europe","call"
"25",25,33.187582434011,"Europe","call"
"26",26,33.7034179502066,"Europe","call"
"27",27,34.200289583171,"Europe","call"
"28",28,34.6791478745849,"Europe","call"
"29",29,35.1408721252302,"Europe","call"
"30",30,35.5862781070209,"Europe","call"
"31",31,36.0161246831018,"Europe","call"
"32",32,36.4311195232156,"Europe","call"
"33",33,36.8319240644127,"Europe","call"
"34",34,37.2191578383331,"Europe","call"
"35",35,37.5934022636899,"Europe","call"
"36",36,37.9552039847308,"Europe","call"
"37",37,38.3050778222549,"Europe","call"
"38",38,38.643509392376,"Europe","call"
"39",39,38.9709574390476,"Europe","call"
"40",40,39.2878559189105,"Europe","call"
"41",41,39.5946158709414,"Europe","call"
"42",42,39.8916270983873,"Europe","call"
"43",43,40.1792596863471,"Europe","call"
"44",44,40.4578653749421,"Europe","call"
"45",45,40.7277788051701,"Europe","call"
"46",46,40.9893186521477,"Europe","call"
"47",47,41.2427886584428,"Europe","call"
"48",48,41.4884785785037,"Europe","call"
"49",49,41.7266650437549,"Europe","call"
"50",50,41.9576123567096,"Europe","call"
"51",1,4.47534098071209,"Europe","put"
"52",2,6.30907804625036,"Europe","put"
"53",3,7.56463891658834,"Europe","put"
"54",4,8.51376170064107,"Europe","put"
"55",5,9.26451484553675,"Europe","put"
"56",6,9.87338964552208,"Europe","put"
"57",7,10.3744915940815,"Europe","put"
"58",8,10.7903668072044,"Europe","put"
"59",9,11.1368854183602,"Europe","put"
"60",10,11.4257452628503,"Europe","put"
"61",11,11.6658783492017,"Europe","put"
"62",12,11.8642973241216,"Europe","put"
"63",13,12.0266331667191,"Europe","put"
"64",14,12.157491942744,"Europe","put"
"65",15,12.2607001587521,"Europe","put"
"66",16,12.3394786647686,"Europe","put"
"67",17,12.3965691193749,"Europe","put"
"68",18,12.4343280171876,"Europe","put"
"69",19,12.4547979618823,"Europe","put"
"70",20,12.4597626168778,"Europe","put"
"71",21,12.4507897146653,"Europe","put"
"72",22,12.4292651755543,"Europe","put"
"73",23,12.3964205026238,"Europe","put"
"74",24,12.3533550193053,"Europe","put"
"75",25,12.3010541002182,"Europe","put"
"76",26,12.2404042527768,"Europe","put"
"77",27,12.1722056971233,"Europe","put"
"78",28,12.0971829393289,"Europe","put"
"79",29,12.0159937203704,"Europe","put"
"80",30,11.929236639535,"Europe","put"
"81",31,11.837457687647,"Europe","put"
"82",32,11.7411558772828,"Europe","put"
"83",33,11.6407881200151,"Europe","put"
"84",34,11.5367734718823,"Europe","put"
"85",35,11.4294968456784,"Europe","put"
"86",36,11.3193122708103,"Europe","put"
"87",37,11.2065457672654,"Europe","put"
"88",38,11.0914978888525,"Europe","put"
"89",39,10.9744459816992,"Europe","put"
"90",40,10.855646196538,"Europe","put"
"91",41,10.7353352872303,"Europe","put"
"92",42,10.6137322229841,"Europe","put"
"93",43,10.4910396376,"Europe","put"
"94",44,10.367445135659,"Europe","put"
"95",45,10.2431224727198,"Europe","put"
"96",46,10.1182326242053,"Europe","put"
"97",47,9.99292475565279,"Europe","put"
"98",48,9.86733710531006,"Europe","put"
"99",49,9.74159778862307,"Europe","put"
"100",50,9.61582553293979,"Europe","put"
"101",1,7.42580466198778,"America","call"
"102",2,10.1911849669387,"America","call"
"103",3,12.3599413045443,"America","call"
"104",4,14.2041770740824,"America","call"
"105",5,15.8323187798105,"America","call"
"106",6,17.3012086830983,"America","call"
"107",7,18.6452962949385,"America","call"
"108",8,19.8874649368259,"America","call"
"109",9,21.0439152706188,"America","call"
"110",10,22.1266691151068,"America","call"
"111",11,23.1449760470023,"America","call"
"112",12,24.1061599929266,"America","call"
"113",13,25.0161570481474,"America","call"
"114",14,25.8798723528687,"America","call"
"115",15,26.7014255660291,"America","call"
"116",16,27.4843248852309,"America","call"
"117",17,28.231593626769,"America","call"
"118",18,28.9458643657774,"America","call"
"119",19,29.6294503196886,"America","call"
"120",20,30.2844004071664,"America","call"
"121",21,30.9125423635419,"America","call"
"122",22,31.5155169635628,"America","call"
"123",23,32.0948055182906,"America","call"
"124",24,32.6517522126097,"America","call"
"125",25,33.187582434011,"America","call"
"126",26,33.7034179502066,"America","call"
"127",27,34.200289583171,"America","call"
"128",28,34.6791478745849,"America","call"
"129",29,35.1408721252302,"America","call"
"130",30,35.5862781070209,"America","call"
"131",31,36.0161246831018,"America","call"
"132",32,36.4311195232156,"America","call"
"133",33,36.8319240644127,"America","call"
"134",34,37.2191578383331,"America","call"
"135",35,37.5934022636899,"America","call"
"136",36,37.9552039847308,"America","call"
"137",37,38.3050778222549,"America","call"
"138",38,38.643509392376,"America","call"
"139",39,38.9709574390476,"America","call"
"140",40,39.2878559189105,"America","call"
"141",41,39.5946158709414,"America","call"
"142",42,39.8916270983873,"America","call"
"143",43,40.1792596863471,"America","call"
"144",44,40.4578653749421,"America","call"
"145",45,40.7277788051701,"America","call"
"146",46,40.9893186521477,"America","call"
"147",47,41.2427886584428,"America","call"
"148",48,41.4884785785037,"America","call"
"149",49,41.7266650437549,"America","call"
"150",50,41.9576123567096,"America","call"
"151",1,4.53138448777703,"America","put"
"152",2,6.46051711905052,"America","put"
"153",3,7.82965526079337,"America","put"
"154",4,8.90579094458164,"America","put"
"155",5,9.79452591405007,"America","put"
"156",6,10.5499582035621,"America","put"
"157",7,11.2056190152455,"America","put"
"158",8,11.7824404044983,"America","put"
"159",9,12.2952596133259,"America","put"
"160",10,12.7557246533696,"America","put"
"161",11,13.1718540877013,"America","put"
"162",12,13.5495878389273,"America","put"
"163",13,13.894145703717,"America","put"
"164",14,14.2102010059133,"America","put"
"165",15,14.501263219537,"America","put"
"166",16,14.7700434991953,"America","put"
"167",17,15.0187729430122,"America","put"
"168",18,15.2493595616957,"America","put"
"169",19,15.4634702611973,"America","put"
"170",20,15.6626774607015,"America","put"
"171",21,15.8485921154502,"America","put"
"172",22,16.0225581225138,"America","put"
"173",23,16.1856371187245,"America","put"
"174",24,16.3387109078277,"America","put"
"175",25,16.4825443645119,"America","put"
"176",26,16.6178183109109,"America","put"
"177",27,16.7451475418284,"America","put"
"178",28,16.8650917395714,"America","put"
"179",29,16.9781628426007,"America","put"
"180",30,17.0848305202727,"America","put"
"181",31,17.1855265460794,"America","put"
"182",32,17.280648466809,"America","put"
"183",33,17.3705627779377,"America","put"
"184",34,17.4556077239459,"America","put"
"185",35,17.5360957958061,"America","put"
"186",36,17.6123159734256,"America","put"
"187",37,17.6845357473377,"America","put"
"188",38,17.7530034009858,"America","put"
"189",39,17.8179725752445,"America","put"
"190",40,17.8797210443117,"America","put"
"191",41,17.9384902109293,"America","put"
"192",42,17.9944756137601,"America","put"
"193",43,18.0478421508675,"America","put"
"194",44,18.0987352330574,"America","put"
"195",45,18.1472869778309,"America","put"
"196",46,18.1936195548296,"America","put"
"197",47,18.2378470601092,"America","put"
"198",48,18.2800766387112,"America","put"
"199",49,18.320409216989,"America","put"
"200",50,18.3589400268015,"America","put"
